conjunction_id,creation_date,tca,miss_distance,relative_speed,relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,rel_pos_mag,rel_vel_mag,miss_distance_log,relative_speed_log,rel_pos_mag_log,rel_vel_mag_log,collision_probability,collision_max_probability,cluster,dbscan_label,iso_anomaly,object1_object_designator,object2_object_designator,object1_object_type,object2_object_type,object1_maneuverable,object2_maneuverable,anomaly_flag
10260740,04:28.1,39:44.7,30.81050752,4641.649869,9.611562186,27.61901249,9.700278089,-5.433559163,-1418.068361,4419.724664,30.810507519060028,4641.649868915612,3.459796660364994,8.443040574665961,3.459796660335445,8.443040574647783,2.9155e-05,0.002675973,0,0,,54163,52497,PAYLOAD,PAYLOAD,,,False
10118623,39:07.6,16:52.8,128.9194734,4684.228535,31.1148274,-118.3737967,-40.49373296,-5.442903476,-1444.171223,4456.044975,128.9194734644092,4684.228534749593,4.866914823141607,8.452169973632223,4.866914823637369,8.452169973578776,1.73496e-05,0.001115785,0,0,,54185,52485,PAYLOAD,PAYLOAD,,,False
10271039,45:54.2,20:08.0,456.2339559,4657.753123,38.26993242,-433.0473661,-138.400916,-4.302580671,-1427.885519,4433.484925,456.2339559515686,4657.7531222438765,6.125195198410426,8.446503121144733,6.125195198523209,8.446503120982431,5.13716e-05,0.001146325,0,0,,51984,53027,PAYLOAD,PAYLOAD,,,False
10193731,45:00.0,53:59.4,204.1854768,14506.07184,-33.85193434,47.80972672,195.601599,19.56782606,-14102.50011,3397.826959,204.18547685611125,14506.07184235877,5.323914334963427,9.582391522618734,5.323914335236894,9.582391522781329,0.000117782,0.001762449,0,0,,24907,42364,PAYLOAD,DEBRIS,,NO,False
10117889,26:07.2,55:13.2,208.7756658,4682.982386,20.79901345,197.9221083,63.09927652,-6.622296704,-1443.452619,4454.966297,208.77566575575236,4682.982385779119,5.346038701627869,8.451903964249393,5.346038701416941,8.451903964202236,1.42148e-05,0.001221652,0,0,,53783,51749,PAYLOAD,PAYLOAD,,,False
10270485,51:08.7,35:25.9,71.19791888,14180.31849,26.11866648,-27.14799995,-60.41477478,-18.05778346,-13243.22164,5069.337938,71.19791887195018,14180.318494989944,4.279411221106619,9.55968077813306,4.279411220995122,9.559680778484928,6.53856e-05,0.003572618,0,0,,46713,49961,PAYLOAD,PAYLOAD,,,False
10297638,48:51.6,01:44.5,193.70529,4684.782831,43.32596037,179.4907373,-58.54635575,1.221323401,-1447.341098,-4455.602365,193.70529004156285,4684.782831741967,5.271487082014192,8.452288273776999,5.271487082227658,8.452288273935343,3.3033e-05,0.001422755,0,0,,54073,52868,PAYLOAD,PAYLOAD,,,False
10188640,23:13.6,07:48.2,405.6952156,9705.288716,10.40179689,-305.6610801,266.5552751,3.506150062,-6315.342912,-7369.46814,405.695215586869,9705.28871573185,6.008064048890208,9.180529275659165,6.008064048857921,9.180529275631537,0.00259233,0.004210389,0,0,,25475,28057,PAYLOAD,PAYLOAD,,,False
10322806,52:38.9,13:55.7,252.305983,4648.695794,-0.288957381,240.6432185,-75.82260179,1.207575575,-1425.007167,-4424.898383,252.30598298219502,4648.695793888448,5.534598176941863,8.444557075796217,5.534598176871572,8.444557075772225,1.26903e-05,0.001231907,0,0,,52993,49762,PAYLOAD,PAYLOAD,,,False
10156593,59:44.4,28:36.6,423.0833888,4657.243092,-9.245796636,-402.9977969,128.4789666,6.0139258,-1427.676913,-4433.014288,423.08338884939906,4657.243091446793,6.049930107592728,8.446393637146084,6.049930107709212,8.446393637027324,3.03083e-05,0.00264482,0,0,,52127,52857,PAYLOAD,PAYLOAD,,,False
10144176,38:49.5,45:39.9,76.67179885,14680.35395,16.92329367,23.70107289,70.92549623,-5.166170721,-14187.43096,3772.209988,76.67179885883661,14680.353951034469,4.352492242328164,9.594333528841927,4.352492242441932,9.594333528912388,5.89393e-05,0.003322549,0,0,,49401,53712,PAYLOAD,PAYLOAD,,,False
10186166,04:36.1,03:11.1,32.46144491,6539.192219,-1.354509392,-28.37101074,-15.71612101,-2.736654819,-2819.641736,5900.054903,32.4614449108966,6539.192218239729,3.510393877830136,8.785721835303733,3.510393877856931,8.785721835187486,1.3139e-05,0.001288449,0,0,,49410,53156,PAYLOAD,PAYLOAD,,,False
10453892,05:58.0,00:58.7,136.3426205,15058.08633,27.65639735,-21.89964717,-131.6998075,-17.4882371,-14962.62562,1692.776604,136.34262046802766,15058.086329735497,4.922478683394949,9.619736830854768,4.922478683162157,9.619736830837205,0.000207195,0.007409186,0,0,,49166,38863,PAYLOAD,DEBRIS,,NO,False
